,count
113.88.13.132,14883
61.177.172.13,1625
221.181.185.153,1264
222.187.232.205,1235
221.181.185.198,1212
221.181.185.159,1187
221.131.165.56,1072
221.181.185.135,1043
221.181.185.220,1037
222.187.239.109,966
221.181.185.19,944
222.187.239.107,933
221.181.185.223,696
221.181.185.143,617
177.74.231.96,579
103.131.88.230,579
191.241.179.213,579
117.5.156.69,579
27.69.240.19,579
176.106.107.111,579
157.100.76.105,579
113.180.78.219,579
14.243.85.96,579
189.202.87.58,579
36.68.131.91,579
78.160.27.17,579
41.60.238.239,579
102.129.73.157,579
123.26.20.182,577
183.89.64.238,577
115.75.10.255,577
36.74.108.63,577
36.68.219.97,575
138.121.44.148,575
194.169.167.3,575
36.76.203.185,575
36.82.98.252,573
186.154.41.149,573
36.65.124.59,573
140.213.58.33,573
187.132.92.121,573
189.142.214.195,572
116.99.164.40,571
1.55.247.252,567
180.246.223.116,567
14.139.41.87,567
36.68.122.28,565
190.198.183.156,563
176.236.116.126,561
92.188.145.198,561
14.172.125.135,557
118.99.107.68,557
221.131.165.23,554
45.227.79.187,554
180.245.152.195,552
221.181.185.151,552
36.83.12.219,549
103.251.188.8,543
112.205.15.25,533
117.251.16.75,518
197.164.71.234,516
159.192.222.102,491
221.181.185.140,468
171.255.67.178,439
171.100.51.250,377
103.255.145.98,375
222.168.30.19,370
36.77.93.75,365
165.232.174.69,361
110.137.81.241,361
39.42.18.226,359
68.183.177.229,351
103.235.170.162,346
125.165.13.21,345
103.145.22.49,337
49.145.14.2,316
95.111.241.154,291
122.51.208.128,291
146.56.216.83,291
110.168.168.8,288
81.70.29.188,286
125.26.202.130,281
157.46.108.190,278
121.46.26.126,275
150.129.200.93,262
119.45.150.247,243
42.112.67.85,242
143.198.112.36,240
211.154.249.75,230
119.45.193.252,221
113.175.63.153,214
171.243.120.15,211
64.52.85.144,211
210.187.41.162,210
122.52.139.239,209
140.238.87.21,206
123.119.69.92,201
142.93.59.117,199
95.214.52.21,199
189.254.242.60,199
121.229.63.151,199
138.0.143.55,199
190.80.239.166,199
68.183.80.77,199
14.63.162.98,199
150.109.238.40,199
13.76.222.249,199
113.23.144.50,199
125.212.245.93,199
118.193.80.106,199
45.43.55.22,199
103.121.197.81,199
212.64.60.50,199
140.249.50.143,199
103.136.40.17,199
154.83.16.181,199
106.53.2.93,199
178.234.37.197,199
165.22.220.78,199
121.5.102.18,199
186.225.252.38,199
188.166.212.31,199
42.194.211.37,199
104.236.105.231,198
115.79.35.110,198
138.68.143.111,198
146.59.16.35,198
194.28.50.52,198
139.59.236.25,198
164.100.189.5,198
121.139.69.202,198
129.204.143.161,198
104.131.97.219,198
221.229.218.50,197
104.199.168.122,197
178.124.206.28,197
154.70.208.66,197
68.183.191.39,197
206.189.127.6,197
61.221.64.5,197
202.165.22.54,197
134.175.227.112,197
128.199.129.68,197
164.90.154.25,197
139.199.80.75,197
164.90.145.103,197
165.22.99.216,197
121.201.95.66,197
122.254.100.157,197
139.59.2.44,197
80.102.214.209,197
202.122.8.50,197
161.22.39.18,197
185.74.4.189,197
159.89.202.95,197
66.175.233.84,197
138.68.64.178,197
192.210.207.123,197
221.239.48.197,197
140.206.223.61,196
103.109.152.210,196
137.116.224.184,195
106.52.152.73,195
121.46.238.204,195
1.15.147.20,195
199.231.184.60,195
104.131.46.166,195
212.253.125.253,195
65.151.189.73,195
152.136.252.134,195
165.22.50.136,195
106.12.160.17,195
203.170.58.241,195
190.143.69.140,195
119.5.157.124,195
143.198.14.72,195
61.75.226.85,195
120.92.141.241,194
49.235.100.147,194
182.61.133.15,193
119.45.18.205,193
132.232.200.163,193
164.155.104.184,193
206.189.128.215,193
36.107.230.1,193
106.58.185.232,193
103.233.5.24,193
123.127.237.43,192
106.53.242.182,191
114.113.237.67,191
101.251.197.238,191
62.234.73.230,191
209.97.147.223,189
81.70.163.249,189
119.28.100.102,187
218.14.208.90,187
81.70.156.161,185
31.27.192.73,185
1.116.25.72,185
106.54.218.152,185
187.189.149.241,184
178.62.1.192,184
103.100.208.30,183
122.51.52.154,183
188.166.0.239,183
178.128.232.185,183
80.24.149.228,182
106.253.59.78,182
167.71.9.180,182
61.154.175.10,182
